name	city	url	finalUrl
AWS re:Invent	Las Vegas	https://reinvent.awsevents.com/	https://aws.amazon.com/events/reinvent/
Berkeley SkyDeck Demo Day	Berkeley	https://skydeck.berkeley.edu/demo-day/	https://skydeck.berkeley.edu/demo-day-fall-2020/
BSides NOLA	New Orleans	https://nolabsides.com	https://bsidesnola.notion.site/Home-315249e7315f802298e5c97d61538355
ElasticON New York	New York	https://www.elastic.co/elasticon	https://www.elastic.co/events/elasticon
ElasticON San Francisco	San Francisco	https://www.elastic.co/elasticon	https://www.elastic.co/events/elasticon
Google Cloud Next	Las Vegas	https://cloud.withgoogle.com/next	https://cloud.withgoogle.com/next/25
IBM TechXchange Conference	Atlanta	https://www.ibm.com/community/ibm-techxchange-conference/	https://www.ibm.com/events/techxchange
Innovation Depot Founders Round Table	Birmingham	https://www.innovationdepot.org/events	https://innovationdepot.org/events/event-calendar/
ISTE+ASCD Conference	Boston	https://conference.iste.org/	https://conference.iste.org/2027/
Microsoft Build	San Francisco	https://build.microsoft.com/	https://build.microsoft.com/en-US/home
Nashville Microsoft Community Day	Nashville	https://m365nashville.org	https://www.communitydays.org/event/2026-09-11/nashville-microsoft-community-day
posit::conf	Houston	https://conf.posit.co	https://conf.posit.co/2026/
PyGotham	New York	https://pygotham.org/	https://2023.pygotham.tv/
PyOhio	Cleveland	https://www.pyohio.org	https://www.pyohio.org/2026/
SCaLE	Pasadena	https://www.socallinuxexpo.org/	https://www.socallinuxexpo.org/scale/24x
Seattle Tech Week	Seattle	https://seattletechweek.com/	https://luma.com/seattletechweek2026
Snowflake Summit	San Francisco	https://www.snowflake.com/summit/	https://www.snowflake.com/en/summit/
Startup Grind Global Conference	Redwood City	https://startupgrind.tech/conference/	https://www.startupgrind.tech/
Stripe Sessions	San Francisco	https://stripe.com/sessions	https://stripe.com/en-ca/sessions/2026
SwampHacks	Gainesville	https://swamphacks.com/	https://xii.swamphacks.com/
The Newark Summit	Newark	https://thenewarksummit.com/	https://thenewarksummit.com/2026/
University of Idaho Engineering Design EXPO	Moscow	https://www.uidaho.edu/engr/expo	https://www.uidaho.edu/engineering/news-events/engineering-expo
VCF Swap Meet	Wall	https://vcfed.org/events/vcf-swap-meet/	https://vcfed.org/vcf-swap-meet/
Vintage Computer Festival Montreal	Montreal	https://vcfed.org/events/vcf-montreal/	https://vcfed.org/vcf-montreal/
Vintage Computer Festival Southeast	Atlanta	https://vcfed.org/events/vintage-computer-festival-southeast/	https://vcfed.org/events/otherevents/vintage-computer-festival-southeast/
VSLive! San Diego	San Diego	https://vslive.com/	https://vslive.com/home.aspx
YYC DataCon	Calgary	https://www.yycdata.ca/datacon	https://www.yycdata.ca/datacon/datacon-2026
